,body_hs,community_hs,mind_hs,people_hs,suffering_hs,body_s,mind_s,people_s,suffering_s
0,movements,community,evidencebased,deathin,suffering,reviled,drafts,expert,knower
1,hormones,spiritual,peertopeer,whove,hundreds,elation,subhuti,masterfully,remainderless
2,temperature,offering,psas,puts,concrete,erect,raindeva,trainer,lamentations
3,bodys,cities,bcms,beck,medications,crosslegged,wellcentered,compassionate,deliverance
4,legs,incorporate,singular,shine,ashamed,fore,roofed,meat,pot
5,ntc,isolated,publish,chris,observed,fifty,reviled,reviled,departed
6,systems,radioheadspacecom,eradicate,features,reduces,smelling,hut,essence,spent
7,pounds,younger,peek,guidelines,supported,revile,revile,revile,suffering
8,fightorflight,liked,undergraduate,aiming,loving,unification,elation,announced,dying
9,rate,range,representative,treating,majority,aroma,knower,ears,distresses
10,interestingly,communities,empathetic,offering,ntc,evaluations,walks,singing,despairs
11,pulled,itunes,effectiveness,link,stressors,compassionate,ahead,spread,literally
12,functions,ntc,influential,presented,hormone,flavor,fifty,overturned,sorrows
13,importantly,celebrate,proud,hang,addition,quite,happened,create,shame
14,settled,successfully,evaluated,sorts,evidencebased,touches,extend,hospitality,impermanence
15,hormone,rewarding,announcements,added,lay,legs,undisturbed,hidden,compassionate
16,produced,added,ongoing,eradicate,treating,knower,fore,knower,gotamas
17,nike,country,steady,silent,neural,hidden,bending,creation,drops
18,begun,private,wander,inevitable,intervention,stilling,unification,learn,relinquishing
19,pulling,permission,enjoyable,majority,glass,assurance,compassionate,pairs,uttered
20,dreaded,prioritize,confused,hopes,provided,tasting,extended,knife,sleeping
21,relaxing,nike,nonprofit,occurs,reduction,bending,crosslegged,health,merely
22,wide,delivered,racing,movies,available,shade,ears,clansmen,grieves
23,limits,expensive,wandered,strongly,forms,cognizing,approach,undisturbed,guide
24,pace,severe,wandering,bcms,warning,meat,comfortable,showing,satisfied
25,muscles,club,stigma,peertopeer,feature,homes,essence,lines,mass
26,rhythm,appeared,glass,psas,safety,walks,surrounded,cities,real
27,signal,weird,wishes,peers,appeared,overturned,shade,nonstaple,bodhi
28,sos,connecting,cross,perceived,countless,phlegm,touches,staple,cross
29,creates,angeles,pilot,accepting,nerve,essence,evaluations,burmese,meat
